id_sujet,id_parent_sujet,nom_sujet
,,
,,
1,0,general
2,1,construction
3,1,travaux_sur_existant
4,1,utilisation_brute_sols
5,3,extension
6,3,rehabilitation_renovation
7,3,isolation
8,5,extension_verticale
9,5,amenagement
10,5,veranda
16,6,rehabilitation
17,6,renovation
18,7,isolation_par_exterieur
19,8,surelevation
20,8,excavation
21,9,amenagement_comble
27,4,exploitation_carriere
28,4,depot
29,4,entreprise_cassage_voiture
30,4,exhaussement_affouillement
31,4,terrain_camping_ou_caravaning
32,4,piscine
33,28,depot_ferailles
34,28,depot_materiaux
35,28,depot_vehicules
36,28,depot_combustibles
37,28,depot_dechets
